time_stamp,sensor_index,humidity,temperature,pm2.5_alt,sensor_id
1731024600,220757,53.0,56.0,8.6,220757
1731045000,220757,61.4,49.4,21.0,220757
1730234400,220757,38.0,79.8,16.2,220757
1730185800,220757,65.2,64.6,18.7,220757
1730223600,220757,43.6,78.2,15.1,220757
1730199000,220757,71.4,64.0,23.8,220757
1730241600,220757,42.0,76.8,17.0,220757
1730222400,220757,45.4,77.4,13.7,220757
1730272800,220757,61.0,69.0,22.3,220757
1730310000,220757,41.6,77.6,11.6,220757
1730266200,220757,57.6,69.2,19.6,220757
1730261400,220757,54.0,69.6,17.6,220757
1730815800,220757,63.0,68.2,5.0,220757
1730770800,220757,62.8,69.0,5.1,220757
1730801400,220757,64.2,67.0,2.9,220757
1730868000,220757,78.0,65.8,1.6,220757
1730862600,220757,78.2,66.2,2.6,220757
1730926200,220757,58.2,69.6,4.5,220757
1730866800,220757,77.6,66.6,2.2,220757
1730867400,220757,77.8,65.8,1.6,220757
1730913000,220757,63.2,68.0,7.5,220757
1730683200,220757,50.4,69.0,6.2,220757
1730733600,220757,69.0,66.0,8.0,220757
1730723400,220757,66.4,65.2,8.7,220757
1730952600,220757,64.0,57.8,4.9,220757
1730953200,220757,63.8,57.0,4.7,220757
1730996400,220757,51.4,59.6,3.3,220757
1731015600,220757,48.0,59.0,3.5,220757
1730981400,220757,65.0,51.0,9.0,220757
1730964600,220757,62.0,55.0,5.5,220757
1730972400,220757,66.0,51.4,10.5,220757
1730985000,220757,67.8,50.6,7.0,220757
1730994000,220757,53.4,57.8,2.9,220757
1731000600,220757,52.6,58.0,3.6,220757
1730588400,220757,35.0,61.8,6.4,220757
1730553000,220757,60.0,46.0,20.9,220757
1730577000,220757,30.2,66.0,3.0,220757
1730560200,220757,52.0,53.8,7.9,220757
1730544600,220757,62.0,44.0,11.1,220757
1730403600,220757,69.6,67.2,2.4,220757
1730349600,220757,56.0,69.0,6.4,220757
1730404200,220757,69.0,68.0,2.4,220757
1730406600,220757,69.0,67.4,2.4,220757
1730362200,220757,66.0,67.6,6.0,220757
1730470800,220757,59.8,45.0,1.9,220757
1730424000,220757,65.0,58.2,3.1,220757
1730476200,220757,55.8,48.0,4.3,220757
1730441400,220757,60.0,50.0,1.3,220757
1730504400,220757,48.0,54.2,22.8,220757
1730430600,220757,63.0,54.8,1.6,220757
1731028800,220757,55.8,54.0,13.1,220757
1731057000,220757,64.6,46.6,37.0,220757
1731065400,220757,64.0,46.0,20.8,220757
1731093000,220757,38.0,64.0,2.5,220757
1731063600,220757,64.0,46.0,20.4,220757
1731092400,220757,38.0,63.6,2.7,220757
1731032400,220757,59.0,53.0,24.7,220757
1731049800,220757,63.6,47.6,26.5,220757
1731033600,220757,59.0,52.0,30.3,220757
1730214000,220757,57.6,71.0,20.4,220757
1730240400,220757,40.6,77.0,17.1,220757
1730239200,220757,40.0,77.8,16.4,220757
1730244000,220757,44.4,75.0,17.8,220757
1730203200,220757,72.6,63.0,24.4,220757
1730227200,220757,39.4,79.8,15.1,220757
1730232000,220757,37.4,80.0,14.7,220757
1730181600,220757,64.0,64.8,17.5,220757
1730233200,220757,37.2,80.2,14.3,220757
1730245800,220757,45.0,74.6,17.4,220757
1730176800,220757,60.4,65.0,14.8,220757
1730242200,220757,42.2,76.4,17.2,220757
1730228400,220757,38.6,80.2,14.8,220757
1730280000,220757,64.6,66.0,23.1,220757
1730777400,220757,61.0,69.0,4.3,220757
1730787600,220757,58.4,67.8,4.2,220757
1730850000,220757,70.0,68.0,5.1,220757
1730835000,220757,47.6,75.8,4.4,220757
1730767800,220757,61.8,71.0,6.3,220757
1730791200,220757,60.6,68.0,3.3,220757
1730776800,220757,60.6,69.0,4.2,220757
1730816400,220757,62.4,68.8,5.0,220757
1730908200,220757,69.8,67.0,13.1,220757
1730930400,220757,60.0,66.8,6.4,220757
1730902800,220757,74.0,65.0,11.3,220757
1730895000,220757,72.6,65.0,9.8,220757
1730731200,220757,73.0,64.8,9.2,220757
1730689800,220757,55.8,69.2,7.9,220757
1730948400,220757,63.0,58.0,4.3,220757
1731005400,220757,50.6,58.6,4.0,220757
1730965200,220757,61.6,55.0,6.3,220757
1730980800,220757,65.0,51.0,9.4,220757
1731008400,220757,49.6,58.8,4.3,220757
1731004200,220757,50.0,59.0,3.6,220757
1731016200,220757,48.4,59.0,4.5,220757
1730960400,220757,63.0,56.0,4.6,220757
1730575200,220757,33.4,65.0,4.1,220757
1730531400,220757,57.0,48.0,13.6,220757
1730515800,220757,54.0,51.0,14.7,220757
1730522400,220757,57.0,48.0,14.7,220757
1730574000,220757,36.8,63.8,4.9,220757
1730554800,220757,59.0,48.0,37.2,220757
1730402400,220757,69.8,66.2,2.1,220757
1730344200,220757,51.2,70.0,7.8,220757
1730341200,220757,48.2,72.0,9.3,220757
1730413800,220757,67.4,66.6,4.4,220757
1730404800,220757,68.8,67.6,2.4,220757
1730386800,220757,75.4,64.8,4.1,220757
1730439000,220757,60.4,49.8,1.3,220757
1730497200,220757,42.4,58.0,5.9,220757
1730435400,220757,63.2,52.0,1.0,220757
1730458200,220757,64.4,44.0,1.8,220757
1730451600,220757,59.4,47.0,7.7,220757
1730476800,220757,55.8,48.2,2.6,220757
1730460000,220757,66.2,44.0,2.2,220757
1730496000,220757,42.6,58.0,5.3,220757
1730469600,220757,60.8,44.6,2.1,220757
1730431800,220757,63.6,54.0,1.5,220757
1730616000,220757,46.0,54.0,11.3,220757
1730601600,220757,43.0,55.8,13.2,220757
1730629800,220757,48.8,52.4,8.0,220757
1730634600,220757,48.6,52.4,7.2,220757
1731034200,220757,59.0,52.0,29.7,220757
1731062400,220757,64.0,45.8,19.8,220757
1730233800,220757,37.4,80.4,14.8,220757
1730242800,220757,42.8,76.0,18.5,220757
1730319600,220757,37.2,80.0,10.1,220757
1730285400,220757,68.2,64.4,25.3,220757
1730330400,220757,45.0,74.2,11.5,220757
1730275800,220757,61.4,68.0,22.3,220757
1730331000,220757,45.4,74.0,11.5,220757
1730314200,220757,39.0,79.4,13.7,220757
1730798400,220757,63.0,67.4,3.1,220757
1730799000,220757,63.0,67.4,3.2,220757
1730849400,220757,69.8,68.0,5.2,220757
1730806200,220757,64.8,66.8,3.1,220757
1730922000,220757,52.4,72.0,4.7,220757
1730874600,220757,76.8,66.0,2.8,220757
1730870400,220757,77.6,65.8,1.6,220757
1730888400,220757,73.0,63.8,4.1,220757
1730865600,220757,79.0,66.0,4.0,220757
1730917200,220757,58.2,70.0,6.2,220757
1730710200,220757,64.0,66.6,8.7,220757
1730691600,220757,57.8,69.0,7.8,220757
1730709600,220757,63.8,67.0,8.4,220757
1730680800,220757,49.2,69.4,6.0,220757
1730748600,220757,67.2,69.0,7.5,220757
1730734800,220757,67.0,67.0,7.8,220757
1731004800,220757,50.4,58.4,3.3,220757
1730986200,220757,68.0,51.0,9.5,220757
1730970000,220757,63.2,53.0,5.8,220757
1730976600,220757,66.2,51.0,9.8,220757
1731014400,220757,47.8,59.4,3.8,220757
1730556600,220757,57.2,50.0,10.0,220757
1730590800,220757,37.0,60.0,11.1,220757
1730572800,220757,38.0,63.0,4.4,220757
1730584800,220757,31.8,65.0,5.7,220757
1730580000,220757,30.6,67.0,3.1,220757
1730561400,220757,50.8,54.8,7.4,220757
1730557800,220757,55.6,51.0,17.5,220757
1730560800,220757,51.0,54.2,7.6,220757
1730348400,220757,55.0,69.0,6.9,220757
1730360400,220757,65.0,67.8,5.4,220757
1730335800,220757,47.6,73.0,11.2,220757
1730342400,220757,50.0,71.0,8.8,220757
1730417400,220757,68.4,65.8,5.6,220757
1730448000,220757,59.0,47.6,5.4,220757
1730488200,220757,45.2,55.6,4.1,220757
1730450400,220757,59.2,47.0,10.6,220757
1730428800,220757,62.2,56.0,1.5,220757
1730673600,220757,48.2,70.8,7.3,220757
1730667600,220757,41.2,71.8,5.6,220757
1730594400,220757,40.2,58.0,15.3,220757
1730607600,220757,44.0,55.0,11.1,220757
1730595000,220757,41.0,57.0,17.4,220757
1730620200,220757,48.0,52.8,9.5,220757
1731063000,220757,64.0,46.0,20.2,220757
1731058200,220757,63.8,46.8,35.4,220757
1730230200,220757,38.0,80.4,14.2,220757
1730238000,220757,39.2,78.2,15.9,220757
1730229600,220757,38.0,79.2,14.8,220757
1730191200,220757,69.6,64.0,21.1,220757
1730205000,220757,73.0,63.0,24.9,220757
1730210400,220757,65.2,67.4,22.2,220757
1730177400,220757,60.8,65.0,15.2,220757
1730211600,220757,62.2,69.0,21.3,220757
1730308200,220757,44.4,77.0,13.3,220757
1730300400,220757,54.4,70.8,15.4,220757
1730257200,220757,50.4,71.2,16.7,220757
1730305800,220757,48.0,74.8,14.0,220757
1730257800,220757,51.2,70.8,17.0,220757
1730262600,220757,55.4,69.0,18.4,220757
1730290200,220757,69.2,63.8,24.8,220757
1730795400,220757,62.8,67.4,3.3,220757
1730787000,220757,58.0,68.0,4.2,220757
1730775000,220757,60.4,69.0,4.5,220757
