time_stamp,sensor_index,humidity,temperature,pm2.5_alt,sensor_id
1731039600,220755,62.8,51.0,12.9,220755
1731046200,220755,63.8,48.4,25.3,220755
1731043800,220755,63.0,49.0,27.3,220755
1731070800,220755,66.0,47.0,26.4,220755
1730979600,220755,66.0,51.0,4.0,220755
1730989800,220755,60.2,54.8,4.1,220755
1730969400,220755,62.0,54.0,4.9,220755
1730938200,220755,64.6,61.0,6.2,220755
1730985000,220755,68.0,50.6,5.2,220755
1730832000,220755,47.0,76.0,3.5,220755
1730828400,220755,49.6,76.0,4.1,220755
1730808600,220755,61.8,68.2,2.9,220755
1730804400,220755,62.0,68.0,2.2,220755
1730837400,220755,43.4,78.0,3.2,220755
1730782800,220755,58.4,69.2,3.5,220755
1730769000,220755,65.2,69.0,4.9,220755
1730770200,220755,66.0,69.0,4.7,220755
1730900400,220755,73.2,66.0,21.3,220755
1730851200,220755,69.4,69.0,4.1,220755
1730859600,220755,73.0,68.0,1.6,220755
1730864400,220755,75.0,68.0,2.4,220755
1730905200,220755,71.0,66.6,10.3,220755
1730441400,220755,56.4,51.6,1.1,220755
1730470200,220755,58.0,46.0,2.5,220755
1730436600,220755,59.0,53.2,1.4,220755
1730501400,220755,46.8,55.4,7.7,220755
1730430000,220755,60.0,56.2,2.0,220755
1730599800,220755,48.0,53.8,10.7,220755
1730659800,220755,38.0,73.0,3.2,220755
1730630400,220755,52.0,51.0,6.8,220755
1730664000,220755,42.0,72.6,4.4,220755
1730609400,220755,50.4,52.0,8.3,220755
1730413200,220755,66.4,67.4,3.5,220755
1730349600,220755,54.0,70.0,5.5,220755
1730521800,220755,59.0,48.0,10.4,220755
1730523600,220755,60.0,47.0,10.7,220755
1730217600,220755,51.2,75.0,15.2,220755
1730230800,220755,38.0,81.0,12.1,220755
1730196000,220755,68.6,65.0,18.3,220755
1730220000,220755,48.0,76.4,13.3,220755
1730259600,220755,50.8,71.0,13.6,220755
1730290800,220755,65.4,65.0,18.9,220755
1730307000,220755,46.0,76.4,11.2,220755
1730284800,220755,64.6,66.0,19.5,220755
