time_stamp,sensor_index,humidity,temperature,pm2.5_atm,sensor_id
1731621600,220757,75.166,52.467,11.3425,220757
1731592800,220757,72.466,57.933,26.0425,220757
1731556800,220757,75.8,53.466,16.409,220757
1731610800,220757,72.666,55.3,2.2105,220757
1731549600,220757,71.167,54.133,18.8875,220757
1731607200,220757,70.8,55.7,3.311,220757
1730638800,220757,46.3,54.5,10.142,220757
1730613600,220757,45.933,54.0,19.84,220757
1730667600,220757,42.233,71.733,9.634,220757
1731470400,220757,54.667,46.733,10.396,220757
1731531600,220757,47.033,57.6,13.993,220757
1731481200,220757,52.233,47.0,8.438500000000001,220757
1731513600,220757,45.133,55.3,11.032,220757
1731499200,220757,52.667,45.166,9.569,220757
1731456000,220757,51.8,49.867,10.3875,220757
1731463200,220757,54.434,47.966,18.354,220757
1731636000,220757,75.7,51.0,27.861,220757
1731646800,220757,75.7,51.0,26.839,220757
1731628800,220757,76.8,51.4,20.968,220757
1731682800,220757,70.034,50.8,23.449,220757
1731686400,220757,67.933,50.666,19.307,220757
1731654000,220757,74.466,50.966,24.68,220757
1730736000,220757,60.533,69.633,10.563,220757
1730721600,220757,66.466,65.433,14.611,220757
1730750400,220757,69.4,67.833,9.7815,220757
1730754000,220757,67.367,68.6,9.3795,220757
1730725200,220757,66.667,65.733,14.4985,220757
1730728800,220757,72.534,64.933,15.1425,220757
1730894400,220757,72.533,64.933,16.285,220757
1730901600,220757,74.0,65.066,19.6215,220757
1730905200,220757,70.867,66.567,19.4425,220757
1730916000,220757,57.966,70.6,9.7775,220757
1730934000,220757,63.3,62.533,8.7515,220757
1730851200,220757,75.5,67.034,7.117,220757
1730930400,220757,61.534,65.067,10.57,220757
1730919600,220757,53.466,72.067,7.8325,220757
1730818800,220757,59.933,69.433,9.513,220757
1730764800,220757,62.466,70.667,8.991499999999998,220757
1730829600,220757,49.1,74.5,7.7005,220757
1731812400,220757,63.233,48.834,17.539,220757
1731848400,220757,69.7,46.666,13.4575,220757
1731880800,220757,53.567,63.0,17.456,220757
1731855600,220757,63.767,53.3,14.0275,220757
1731884400,220757,54.7,62.167,19.521,220757
1731834000,220757,69.133,46.2,10.4385,220757
1731945600,220757,65.9,63.2,23.202,220757
1731963600,220757,59.333,67.034,20.442,220757
1731924000,220757,62.892,62.758,27.207,220757
1731920400,220757,65.633,60.9,28.099,220757
1731927600,220757,63.633,62.167,27.4375,220757
1730970000,220757,64.9,51.867,14.266000000000002,220757
1731006000,220757,50.133,58.466,6.6155,220757
1730574000,220757,33.4,65.2,5.9785,220757
1730505600,220757,49.633,53.233,20.1095,220757
1730512800,220757,53.633,51.0,25.1565,220757
1730509200,220757,51.666,51.867,21.373,220757
1730552400,220757,59.567,46.966,58.303,220757
1730538000,220757,59.9,45.534,17.996000000000002,220757
1731081600,220757,45.833,57.6,5.192,220757
1731060000,220757,64.0,46.166,36.128,220757
1731049200,220757,63.633,47.767,41.9025,220757
